Chromosome,Start,Stop,Ymers
neomexicanus_ChrX,0,1000000,0
neomexicanus_ChrX,100000,1100000,0
neomexicanus_ChrX,200000,1200000,0
neomexicanus_ChrX,300000,1300000,0
neomexicanus_ChrX,400000,1400000,0
neomexicanus_ChrX,500000,1500000,0
neomexicanus_ChrX,600000,1600000,0
neomexicanus_ChrX,700000,1700000,0
neomexicanus_ChrX,800000,1800000,0.000021
neomexicanus_ChrX,900000,1900000,0.000021
neomexicanus_ChrX,1000000,2000000,0.000021
neomexicanus_ChrX,1100000,2100000,0.000021
neomexicanus_ChrX,1200000,2200000,0.000021
neomexicanus_ChrX,1300000,2300000,0.000021
neomexicanus_ChrX,1400000,2400000,0.000021
neomexicanus_ChrX,1500000,2500000,0.000043
neomexicanus_ChrX,1600000,2600000,0.000043
neomexicanus_ChrX,1700000,2700000,0.000043
neomexicanus_ChrX,1800000,2800000,0.000022
neomexicanus_ChrX,1900000,2900000,0.000022
neomexicanus_ChrX,2000000,3000000,0.000022
neomexicanus_ChrX,2100000,3100000,0.000022
neomexicanus_ChrX,2200000,3200000,0.000022
neomexicanus_ChrX,2300000,3300000,0.000022
neomexicanus_ChrX,2400000,3400000,0.000043
neomexicanus_ChrX,2500000,3500000,0.000021
neomexicanus_ChrX,2600000,3600000,0.000021
neomexicanus_ChrX,2700000,3700000,0.000021
neomexicanus_ChrX,2800000,3800000,0.000021
neomexicanus_ChrX,2900000,3900000,0.000021
neomexicanus_ChrX,3000000,4000000,0.000021
neomexicanus_ChrX,3100000,4100000,0.000021
neomexicanus_ChrX,3200000,4200000,0.000021
neomexicanus_ChrX,3300000,4300000,0.000021
neomexicanus_ChrX,3400000,4400000,0
neomexicanus_ChrX,3500000,4500000,0
neomexicanus_ChrX,3600000,4600000,0
neomexicanus_ChrX,3700000,4700000,0.000021
neomexicanus_ChrX,3800000,4800000,0.000021
neomexicanus_ChrX,3900000,4900000,0.000021
neomexicanus_ChrX,4000000,5000000,0.000021
neomexicanus_ChrX,4100000,5100000,0.000042
neomexicanus_ChrX,4200000,5200000,0.000042
neomexicanus_ChrX,4300000,5300000,0.000042
neomexicanus_ChrX,4400000,5400000,0.000042
neomexicanus_ChrX,4500000,5500000,0.000042
neomexicanus_ChrX,4600000,5600000,0.000085
neomexicanus_ChrX,4700000,5700000,0.000064
neomexicanus_ChrX,4800000,5800000,0.000085
neomexicanus_ChrX,4900000,5900000,0.000085
neomexicanus_ChrX,5000000,6000000,0.000085
neomexicanus_ChrX,5100000,6100000,0.000064
neomexicanus_ChrX,5200000,6200000,0.000064
neomexicanus_ChrX,5300000,6300000,0.000064
neomexicanus_ChrX,5400000,6400000,0.000064
neomexicanus_ChrX,5500000,6500000,0.000085
neomexicanus_ChrX,5600000,6600000,0.000042
neomexicanus_ChrX,5700000,6700000,0.000042
neomexicanus_ChrX,5800000,6800000,0.000042
neomexicanus_ChrX,5900000,6900000,0.000067
neomexicanus_ChrX,6000000,7000000,0.000067
neomexicanus_ChrX,6100000,7100000,0.000067
neomexicanus_ChrX,6200000,7200000,0.000067
neomexicanus_ChrX,6300000,7300000,0.000067
neomexicanus_ChrX,6400000,7400000,0.000067
neomexicanus_ChrX,6500000,7500000,0.000046
neomexicanus_ChrX,6600000,7600000,0.000046
neomexicanus_ChrX,6700000,7700000,0.000046
neomexicanus_ChrX,6800000,7800000,0.000025
neomexicanus_ChrX,6900000,7900000,0
neomexicanus_ChrX,7000000,8000000,0.000022
neomexicanus_ChrX,7100000,8100000,0.000022
neomexicanus_ChrX,7200000,8200000,0.000022
neomexicanus_ChrX,7300000,8300000,0.000022
neomexicanus_ChrX,7400000,8400000,0.000022
neomexicanus_ChrX,7500000,8500000,0.000022
neomexicanus_ChrX,7600000,8600000,0.000022
neomexicanus_ChrX,7700000,8700000,0.000022
neomexicanus_ChrX,7800000,8800000,0.000022
neomexicanus_ChrX,7900000,8900000,0.000022
neomexicanus_ChrX,8000000,9000000,0
neomexicanus_ChrX,8100000,9100000,0
neomexicanus_ChrX,8200000,9200000,0
neomexicanus_ChrX,8300000,9300000,0
neomexicanus_ChrX,8400000,9400000,0
neomexicanus_ChrX,8500000,9500000,0
neomexicanus_ChrX,8600000,9600000,0
neomexicanus_ChrX,8700000,9700000,0.000021
neomexicanus_ChrX,8800000,9800000,0.000021
neomexicanus_ChrX,8900000,9900000,0.000021
neomexicanus_ChrX,9000000,10000000,0.000021
neomexicanus_ChrX,9100000,10100000,0.000021
neomexicanus_ChrX,9200000,10200000,0.000021
neomexicanus_ChrX,9300000,10300000,0.000021
neomexicanus_ChrX,9400000,10400000,0.000021
neomexicanus_ChrX,9500000,10500000,0.000021
neomexicanus_ChrX,9600000,10600000,0.000021
neomexicanus_ChrX,9700000,10700000,0
